                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                0.94605,                 2.7712,                  1.245,                 0.6574,                0.73811,                0.75476,                0.64036,                0.59486,                    1.7,                 1.0225,                0.00012,                0.00012,                0.00012
                      2,                0.94971,                 2.1605,                 1.2041,                0.29654,                0.80257,                0.51695,                0.34635,                0.98085,                 9.0049,                 1.3261,             0.00023426,             0.00023426,             0.00023426
                      3,                0.98351,                 2.2358,                 1.2161,                0.14783,                   0.75,                0.47283,                0.25419,                 1.2639,                 20.614,                 1.9728,              0.0003208,              0.0003208,              0.0003208
                      4,                 1.1204,                  2.194,                 1.4478,                0.50678,                0.55769,                0.48596,                0.24666,                 1.4428,                 4.8886,                 2.1388,             0.00037962,             0.00037962,             0.00037962
                      5,                 1.0796,                 2.0093,                 1.2718,                0.48352,                0.32692,                 0.2863,                0.13584,                 1.7863,                  3.682,                 2.4903,             0.00041072,             0.00041072,             0.00041072
                      6,                 1.0168,                 1.8181,                 1.2251,                 0.4019,                0.46154,                0.39509,                 0.2355,                 1.4763,                 4.4645,                 2.2674,              0.0004141,              0.0004141,              0.0004141
                      7,                 1.0378,                 1.6512,                 1.3318,                0.34843,                    0.5,                 0.4398,                0.25483,                 1.3117,                 5.9847,                 2.0096,             0.00038976,             0.00038976,             0.00038976
                      8,                 0.9895,                 1.6703,                 1.3278,                0.41866,                0.44231,                0.40444,                0.24358,                  1.306,                 4.3737,                 1.9359,              0.0003377,              0.0003377,              0.0003377
                      9,                 1.1251,                 1.5988,                 1.3643,                0.43235,                0.55769,                0.41005,                0.24509,                 1.3218,                 3.3362,                 1.9402,             0.00025792,             0.00025792,             0.00025792
                     10,                0.97018,                 1.3489,                 1.2205,                0.51191,                0.51923,                0.44945,                0.26547,                 1.3443,                  2.739,                 1.9129,             0.00015042,             0.00015042,             0.00015042
