                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.2468,                 3.8341,                 1.3917,                 0.0034,                0.98077,                 0.5816,                0.43267,                0.66115,                  3.185,                 1.0525,                0.00012,                0.00012,                0.00012
                      2,                  1.121,                 3.0509,                 1.3089,                 0.0034,                0.98077,                0.66448,                0.48018,                0.73201,                 3.1536,                 1.1019,             0.00023426,             0.00023426,             0.00023426
                      3,                 1.0509,                 2.8415,                 1.2289,                 0.0034,                0.98077,                0.67077,                0.48161,                0.70211,                 3.1588,                 1.0867,              0.0003208,              0.0003208,              0.0003208
                      4,                0.99403,                 2.7293,                 1.2324,                0.00725,                0.96154,                0.66658,                0.46782,                0.85202,                 3.1457,                 1.2875,             0.00037962,             0.00037962,             0.00037962
                      5,                 1.0174,                 2.6449,                 1.1897,                 0.0034,                0.98077,                0.60885,                0.43863,                0.79141,                 3.1153,                 1.1881,             0.00041072,             0.00041072,             0.00041072
                      6,                0.99983,                 2.4971,                 1.1647,                0.69354,                0.56588,                0.67499,                0.42074,                0.89304,                 3.0975,                 1.2584,              0.0004141,              0.0004141,              0.0004141
                      7,                0.91943,                 2.5294,                 1.1097,                0.84986,                0.32659,                0.66147,                0.44754,                  0.851,                 2.9235,                 1.2195,             0.00038976,             0.00038976,             0.00038976
                      8,                 0.9345,                 2.2446,                 1.1576,                0.82036,                0.35146,                0.69894,                0.48617,                0.84051,                 2.8449,                 1.2364,              0.0003377,              0.0003377,              0.0003377
                      9,                0.85709,                  2.287,                 1.0759,                0.85406,                0.45033,                0.73171,                0.50823,                0.84374,                 2.8023,                  1.262,             0.00025792,             0.00025792,             0.00025792
                     10,                0.86415,                 2.2429,                 1.1739,                0.86155,                0.47874,                0.75185,                0.53444,                0.85355,                 2.7502,                 1.2541,             0.00015042,             0.00015042,             0.00015042
